U2,tickle_frequency,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.18,14,,,,,,,
-0.18,149,,,,,,,
-0.17,122,,,,,,,
-0.14,86,,,,,,,
-0.14,97,,,,,,,
-0.14,125,,,,,,,
-0.14,74,,,,,,,
-0.17,124,,,,,,,
-0.13,124,,,,,,,
-0.18,178,,,,,,,
-0.13,41,,,,,,,
-0.18,30,,,,,,,
-0.17,73,,,,,,,
-0.16,115,,,,,,,
-0.14,42,,,,,,,
-0.16,124,,,,,,,
-0.15,23,,,,,,,
-0.13,106,,,,,,,
-0.15,174,,,,,,,
-0.17,47,,,,,,,
-0.15,186,,,,,,,
-0.18,25,,,,,,,
-0.13,21,,,,,,,
-0.16,180,,,,,,,
-0.15,102,,,,,,,
-0.17,29,,,,,,,
-0.16,60,,,,,,,
-0.16,95,,,,,,,
-0.13,111,,,,,,,
-0.16,163,,,,,,,
-0.15,152,,,,,,,
-0.18,192,,,,,,,
-0.18,113,,,,,,,
-0.15,136,,,,,,,
-0.14,124,,,,,,,
-0.13,99,,,,,,,
-0.17,8,,,,,,,
-0.13,69,,,,,,,
-0.13,74,,,,,,,
-0.13,85,,,,,,,
-0.13,140,,,,,,,
-0.13,63,,,,,,,
-0.14,156,,,,,,,
-0.14,127,,,,,,,
-0.14,89,,,,,,,
-0.15,34,,,,,,,
-0.17,131,,,,,,,
-0.18,10,,,,,,,
-0.13,197,,,,,,,
-0.13,113,,,,,,,
-0.14,144,,,,,,,
-0.16,179,,,,,,,
-0.17,24,,,,,,,
-0.13,146,,,,,,,
-0.14,88,,,,,,,
-0.17,173,,,,,,,
-0.14,162,,,,,,,
-0.15,119,,,,,,,
-0.13,173,,,,,,,
-0.15,72,,,,,,,
-0.13,171,,,,,,,
-0.15,165,,,,,,,
-0.18,148,,,,,,,
-0.16,174,,,,,,,
-0.17,150,,,,,,,
-0.17,101,,,,,,,
-0.14,52,,,,,,,
-0.14,26,,,,,,,
-0.16,68,,,,,,,
-0.16,103,,,,,,,
-0.16,14,,,,,,,
-0.18,88,,,,,,,
-0.18,179,,,,,,,
-0.14,38,,,,,,,
-0.15,17,,,,,,,
-0.14,11,,,,,,,
-0.16,126,,,,,,,
-0.14,49,,,,,,,
-0.15,110,,,,,,,
-0.18,191,,,,,,,
-0.14,131,,,,,,,
-0.14,116,,,,,,,
-0.14,142,,,,,,,
-0.13,161,,,,,,,
-0.16,15,,,,,,,
-0.16,168,,,,,,,
-0.17,165,,,,,,,
-0.17,196,,,,,,,
-0.14,137,,,,,,,
-0.16,79,,,,,,,
-0.14,35,,,,,,,
-0.15,24,,,,,,,
-0.18,175,,,,,,,
-0.15,123,,,,,,,
-0.13,149,,,,,,,
-0.18,128,,,,,,,
-0.18,90,,,,,,,
-0.16,26,,,,,,,
-0.14,121,,,,,,,
-0.15,21,,,,,,,
-0.17,147,,,,,,,
-0.13,109,,,,,,,
-0.16,44,,,,,,,
-0.18,23,,,,,,,
-0.16,75,,,,,,,
-0.17,78,,,,,,,
-0.13,132,,,,,,,
-0.17,40,,,,,,,
-0.14,34,,,,,,,
-0.13,3,,,,,,,
-0.14,159,,,,,,,
-0.15,89,,,,,,,
-0.13,88,,,,,,,
-0.18,98,,,,,,,
-0.14,153,,,,,,,
-0.16,122,,,,,,,
-0.15,39,,,,,,,
-0.17,191,,,,,,,
-0.15,197,,,,,,,
-0.18,118,,,,,,,
-0.13,23,,,,,,,
-0.18,63,,,,,,,
-0.18,28,,,,,,,
-0.15,41,,,,,,,
-0.14,193,,,,,,,
-0.17,46,,,,,,,
-0.16,40,,,,,,,
-0.13,155,,,,,,,
-0.17,1,,,,,,,
-0.13,156,,,,,,,
-0.18,171,,,,,,,
-0.15,171,,,,,,,
-0.18,61,,,,,,,
-0.13,104,,,,,,,
-0.16,13,,,,,,,
-0.16,51,,,,,,,
-0.18,126,,,,,,,
-0.18,69,,,,,,,
-0.15,163,,,,,,,
-0.17,37,,,,,,,
-0.13,151,,,,,,,
-0.13,92,,,,,,,
-0.17,190,,,,,,,
-0.14,104,,,,,,,
-0.16,17,,,,,,,
-0.16,6,,,,,,,
-0.17,102,,,,,,,
-0.18,142,,,,,,,
-0.16,186,,,,,,,
-0.13,196,,,,,,,
-0.15,114,,,,,,,
-0.18,130,,,,,,,
-0.13,179,,,,,,,
-0.13,143,,,,,,,
-0.18,197,,,,,,,
-0.14,1,,,,,,,
-0.16,9,,,,,,,
-0.18,38,,,,,,,
-0.15,96,,,,,,,
-0.18,115,,,,,,,
-0.15,108,,,,,,,
-0.17,26,,,,,,,
-0.18,104,,,,,,,
-0.15,148,,,,,,,
-0.17,123,,,,,,,
-0.16,105,,,,,,,
-0.13,19,,,,,,,
-0.14,188,,,,,,,
-0.17,139,,,,,,,
-0.13,64,,,,,,,
-0.16,24,,,,,,,
-0.15,191,,,,,,,
-0.14,112,,,,,,,
-0.14,157,,,,,,,
-0.17,167,,,,,,,
-0.13,31,,,,,,,
-0.17,141,,,,,,,
-0.18,172,,,,,,,
-0.18,52,,,,,,,
-0.17,138,,,,,,,
-0.17,169,,,,,,,
-0.16,61,,,,,,,
-0.14,22,,,,,,,
-0.17,15,,,,,,,
-0.14,119,,,,,,,
-0.13,177,,,,,,,
-0.17,152,,,,,,,
-0.13,133,,,,,,,
-0.14,76,,,,,,,
-0.13,164,,,,,,,
-0.14,55,,,,,,,
-0.16,148,,,,,,,
-0.15,157,,,,,,,
-0.15,175,,,,,,,
-0.17,168,,,,,,,
-0.16,109,,,,,,,
-0.15,139,,,,,,,
-0.18,13,,,,,,,
-0.14,149,,,,,,,
-0.15,192,,,,,,,
-0.13,116,,,,,,,
-0.16,199,,,,,,,
-0.16,84,,,,,,,
-0.16,166,,,,,,,
-0.18,152,,,,,,,
-0.17,186,,,,,,,
-0.14,148,,,,,,,
-0.16,58,,,,,,,
-0.15,29,,,,,,,
